# tablE for ExpErimEntal ratE
#                         
#    T8     ratE 

6603
0.18093809 5.3618046E-58
0.18114652 5.6591463E-58
0.18135519 5.9728668E-58
0.18156411 6.3038623E-58
0.18177326 6.6530776E-58
0.18198265 7.0215088E-58
0.18219229 7.4102063E-58
0.18240217 7.8202773E-58
0.18261229 8.2528892E-58
0.18282265 8.7092726E-58
0.18303325 9.1907248E-58
0.1832441 9.6986138E-58
0.18345519 1.0234381E-57
0.18366652 1.0799547E-57
0.18387809 1.1395714E-57
0.18408991 1.202457E-57
0.18430198 1.2687897E-57
0.18451429 1.3387571E-57
0.18472684 1.4125569E-57
0.18493963 1.4903978E-57
0.18515268 1.5724995E-57
0.18536596 1.6590936E-57
0.1855795 1.7504243E-57
0.18579328 1.846749E-57
0.1860073 1.9483388E-57
0.18622158 2.0554797E-57
0.18643609 2.1684729E-57
0.18665086 2.287636E-57
0.18686587 2.4133034E-57
0.18708113 2.545828E-57
0.18729664 2.6855813E-57
0.1875124 2.832955E-57
0.18772841 2.9883618E-57
0.18794466 3.1522365E-57
0.18816117 3.3250376E-57
0.18837792 3.507248E-57
0.18859492 3.6993765E-57
0.18881218 3.9019594E-57
0.18902968 4.1155617E-57
0.18924743 4.3407788E-57
0.18946544 4.578238E-57
0.18968369 4.8286002E-57
0.1899022 5.0925619E-57
0.19012096 5.3708567E-57
0.19033997 5.6642578E-57
0.19055923 5.9735796E-57
0.19077875 6.2996801E-57
0.19099852 6.6434634E-57
0.19121854 7.005882E-57
0.19143881 7.387939E-57
0.19165934 7.7906916E-57
0.19188013 8.2152532E-57
0.19210116 8.6627969E-57
0.19232246 9.1345584E-57
0.192544 9.6318392E-57
0.1927658 1.0156011E-56
0.19298786 1.0708517E-56
0.19321018 1.129088E-56
0.19343275 1.1904701E-56
0.19365557 1.2551669E-56
0.19387865 1.3233562E-56
0.19410199 1.3952253E-56
0.19432559 1.4709713E-56
0.19454944 1.550802E-56
0.19477356 1.6349363E-56
0.19499793 1.7236045E-56
0.19522256 1.8170493E-56
0.19544744 1.9155264E-56
0.19567259 2.019305E-56
0.195898 2.1286684E-56
0.19612366 2.2439153E-56
0.19634959 2.36536E-56
0.19657577 2.4933337E-56
0.19680222 2.628185E-56
0.19702893 2.770281E-56
0.1972559 2.9200083E-56
0.19748313 3.0777741E-56
0.19771062 3.244007E-56
0.19793837 3.4191584E-56
0.19816639 3.6037037E-56
0.19839467 3.7981432E-56
0.19862321 4.003004E-56
0.19885201 4.2188407E-56
0.19908108 4.4462377E-56
0.19931042 4.6858098E-56
0.19954001 4.9382048E-56
0.19976987 5.2041042E-56
0.2 5.484226E-56
0.20023039 5.7793258E-56
0.20046105 6.0901991E-56
0.20069197 6.4176834E-56
0.20092316 6.7626606E-56
0.20115461 7.1260587E-56
0.20138633 7.5088549E-56
0.20161832 7.9120779E-56
0.20185058 8.3368105E-56
0.2020831 8.7841925E-56
0.20231589 9.2554237E-56
0.20254895 9.7517673E-56
0.20278228 1.0274553E-55
0.20301587 1.0825179E-55
0.20324974 1.1405119E-55
0.20348387 1.2015925E-55
0.20371828 1.2659226E-55
0.20395295 1.3336741E-55
0.2041879 1.4050278E-55
0.20442311 1.480174E-55
0.2046586 1.5593128E-55
0.20489436 1.6426552E-55
0.20513039 1.7304228E-55
0.20536669 1.8228491E-55
0.20560326 1.9201799E-55
0.20584011 2.0226737E-55
0.20607722 2.1306026E-55
0.20631462 2.2442529E-55
0.20655228 2.3639261E-55
0.20679022 2.4899392E-55
0.20702843 2.622626E-55
0.20726692 2.7623377E-55
0.20750568 2.9094437E-55
0.20774472 3.0643331E-55
0.20798403 3.2274149E-55
0.20822362 3.3991198E-55
0.20846349 3.5799008E-55
0.20870363 3.7702348E-55
0.20894404 3.9706232E-55
0.20918474 4.181594E-55
0.20942571 4.4037024E-55
0.20966696 4.6375328E-55
0.20990849 4.8837001E-55
0.21015029 5.142851E-55
0.21039237 5.4156662E-55
0.21063474 5.7028617E-55
0.21087738 6.0051909E-55
0.2111203 6.3234464E-55
0.2113635 6.6584621E-55
0.21160698 7.0111152E-55
0.21185075 7.3823288E-55
0.21209479 7.7730738E-55
0.21233911 8.1843717E-55
0.21258372 8.6172973E-55
0.2128286 9.072981E-55
0.21307377 9.5526121E-55
0.21331922 1.0057442E-54
0.21356496 1.0588786E-54
0.21381098 1.114803E-54
0.21405728 1.173663E-54
0.21430386 1.2356118E-54
0.21455073 1.3008105E-54
0.21479788 1.3694287E-54
0.21504532 1.4416447E-54
0.21529304 1.5176462E-54
0.21554105 1.5976305E-54
0.21578934 1.681805E-54
0.21603792 1.7703883E-54
0.21628679 1.8636098E-54
0.21653594 1.9617112E-54
0.21678538 2.0649466E-54
0.21703511 2.1735832E-54
0.21728512 2.2879021E-54
0.21753543 2.4081991E-54
0.21778602 2.5347851E-54
0.2180369 2.6679873E-54
0.21828807 2.8081497E-54
0.21853953 2.9556342E-54
0.21879127 3.1108216E-54
0.21904331 3.274112E-54
0.21929564 3.4459267E-54
0.21954826 3.6267085E-54
0.21980117 3.8169233E-54
0.22005437 4.017061E-54
0.22030786 4.2276369E-54
0.22056165 4.4491931E-54
0.22081572 4.6822996E-54
0.22107009 4.927556E-54
0.22132476 5.1855929E-54
0.22157971 5.4570737E-54
0.22183496 5.7426958E-54
0.22209051 6.043193E-54
0.22234635 6.3593371E-54
0.22260248 6.6919397E-54
0.22285891 7.0418546E-54
0.22311563 7.4099795E-54
0.22337265 7.797259E-54
0.22362996 8.2046863E-54
0.22388758 8.6333062E-54
0.22414549 9.0842176E-54
0.22440369 9.5585763E-54
0.22466219 1.0057598E-53
0.22492099 1.0582561E-53
0.22518009 1.1134811E-53
0.22543949 1.1715762E-53
0.22569919 1.2326903E-53
0.22595918 1.2969798E-53
0.22621948 1.3646094E-53
0.22648007 1.4357523E-53
0.22674097 1.5105906E-53
0.22700216 1.5893159E-53
0.22726366 1.6721299E-53
0.22752546 1.7592445E-53
0.22778756 1.8508828E-53
0.22804996 1.9472795E-53
0.22831266 2.0486813E-53
0.22857567 2.155348E-53
0.22883898 2.2675528E-53
0.22910259 2.385583E-53
0.2293665 2.5097411E-53
0.22963072 2.6403451E-53
0.22989525 2.7777297E-53
0.23016008 2.9222472E-53
0.23042521 3.0742679E-53
0.23069065 3.2341817E-53
0.2309564 3.4023989E-53
0.23122245 3.5793511E-53
0.23148881 3.7654924E-53
0.23175547 3.9613009E-53
0.23202244 4.1672795E-53
0.23228972 4.3839574E-53
0.23255731 4.6118919E-53
0.23282521 4.851669E-53
0.23309341 5.103906E-53
0.23336192 5.369252E-53
0.23363075 5.6483909E-53
0.23389988 5.942042E-53
0.23416932 6.2509628E-53
0.23443907 6.5759506E-53
0.23470914 6.9178446E-53
0.23497951 7.2775287E-53
0.2352502 7.655933E-53
0.23552119 8.0540371E-53
0.2357925 8.4728724E-53
0.23606413 8.9135248E-53
0.23633606 9.377138E-53
0.23660831 9.8649162E-53
0.23688087 1.0378128E-52
0.23715375 1.0918109E-52
0.23742694 1.1486265E-52
0.23770045 1.208408E-52
0.23797427 1.2713114E-52
0.2382484 1.3375012E-52
0.23852285 1.4071506E-52
0.23879762 1.4804421E-52
0.23907271 1.5575682E-52
0.23934811 1.6387314E-52
0.23962382 1.7241454E-52
0.23989986 1.8140352E-52
0.24017621 1.9086381E-52
0.24045289 2.0082041E-52
0.24072988 2.1129968E-52
0.24100719 2.223294E-52
0.24128482 2.3393887E-52
0.24156277 2.4615899E-52
0.24184104 2.5902231E-52
0.24211963 2.7256319E-52
0.24239854 2.8681784E-52
0.24267777 3.0182448E-52
0.24295732 3.176234E-52
0.2432372 3.3425712E-52
0.2435174 3.5177049E-52
0.24379792 3.7021084E-52
0.24407876 3.8962809E-52
0.24435993 4.1007496E-52
0.24464142 4.3160707E-52
0.24492324 4.5428311E-52
0.24520538 4.7816508E-52
0.24548785 5.033184E-52
0.24577064 5.2981217E-52
0.24605375 5.5771933E-52
0.2463372 5.8711694E-52
0.24662097 6.1808637E-52
0.24690506 6.5071358E-52
0.24718949 6.8508939E-52
0.24747424 7.2130976E-52
0.24775932 7.5947606E-52
0.24804473 7.9969546E-52
0.24833046 8.420812E-52
0.24861653 8.8675299E-52
0.24890292 9.3383741E-52
0.24918965 9.8346827E-52
0.2494767 1.0357871E-51
0.24976409 1.0909435E-51
0.25005181 1.1490958E-51
0.25033985 1.2104114E-51
0.25062823 1.2750675E-51
0.25091695 1.3432516E-51
0.25120599 1.4151621E-51
0.25149537 1.4910088E-51
0.25178508 1.5710142E-51
